"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KCND3",0.173123942019602,-1.79164456460689,2.72191108489423,0.0066026528120787,0.0124499657991688,-4.07355197625329
"FUT8",-0.141100212022713,3.83643694454551,-2.72107318291672,0.00661928758448761,0.0124802523549351,-4.07581385422785
"TRBV29OR9-2",0.124055868551221,-3.03564552769916,2.71992311423784,0.00664218121564718,0.0125201668416049,-4.07891729459335
"ADAMTS9-AS2",0.152715985107713,-1.75157644476555,2.71980665592155,0.00664450344255425,0.0125234607744362,-4.07923148325591
"ZNF549",0.157931118436918,1.5567236630172,2.71952431618318,0.00665013644839088,0.0125329937044142,-4.07999314235667
"CA9",0.271195219779577,-0.424247859732185,2.71915422198704,0.00665752676981395,0.0125458365747856,-4.08099141591514
"TRAF7",-0.104004836027582,5.49414514625149,-2.71896402932858,0.006661327556836,0.012550828142106,-4.08150437999313
"ST3GAL6-AS1",0.201159307818657,-1.32151324908304,2.71802152916493,0.00668019121052285,0.0125841935227192,-4.08404585294793
"PBDC1",-0.16685611227758,4.85506667694371,-2.71732904367226,0.00669408158459434,0.0126058224548016,-4.08591260237231
"NR2F2-AS1",0.153259084765685,1.65994980338489,2.71730495302914,0.00669456527980562,0.0126058224548016,-4.08597753564855
"ATG101",0.114765838327577,5.83901534050301,2.71695432127452,0.00670160887455331,0.012617995107277,-4.08692255490627
"TAS2R3",0.129932215045467,-2.46950657288146,2.71578967974804,0.00672505244821373,0.0126585531835618,-4.09006062281047
"BCL7A",-0.113900476644959,2.44076976218317,-2.71576878994662,0.00672547362120672,0.0126585531835618,-4.09011689722391
"BRPF3",0.114428735003037,3.85020427303036,2.71471149861494,0.00674682140381294,0.0126965401493293,-4.09296454569247
"LXN",-0.261552541550811,3.79150173168015,-2.7136177923846,0.00676896860344893,0.012737117950704,-4.09590912217849
"LINC00355",0.150331263709086,-2.78227200625298,2.71325911751402,0.00677624588990108,0.0127486097341517,-4.09687452504018
"LINC01011",0.122079787616193,-0.056950256444723,2.71305509628355,0.0067803884929863,0.012755302189603,-4.09742360882202
"RNASEK-C17orf49",-0.144140814116646,4.92496008857375,-2.7125839022164,0.00678996469020897,0.0127711118342385,-4.09869158124802
"C11orf24",0.130977443146811,5.71759855894349,2.71237806535713,0.00679415178405255,0.0127778842891857,-4.09924541540183
"ARSB",0.134946398753667,3.47389452980171,2.71164369340301,0.00680910917888063,0.0128038047124447,-4.10122101300124
"MOCS1",-0.168868526588717,2.47182578889886,-2.71109572225066,0.00682028933587017,0.0128226147220545,-4.10269481420691
"ASB4",0.107807913828358,-2.88288149461714,2.71097168738949,0.0068228222886313,0.0128262701811126,-4.10302837264823
"DLK1",-0.186215240513992,-2.05357954560872,-2.7103951823202,0.00683460638502137,0.0128473147972408,-4.10457853077345
"ARHGAP17",-0.107060190701226,4.87240855177936,-2.710232485173,0.0068379353207695,0.0128513550663763,-4.1050159465554
"UHRF2",-0.110563863300833,4.51426469550905,-2.71010969379585,0.00684044871323272,0.0128549700268513,-4.10534605743589
"MIR4668",0.282047857932238,-1.25120125315119,2.70918248349945,0.00685945445334614,0.0128895750723019,-4.10783828272174
"PF4",0.1557975823155,-2.70520148042882,2.70880271078404,0.00686725265275364,0.0128997789054743,-4.10885882165922
"AGFG2",-0.102384608678264,2.0557235612893,-2.70703049450046,0.00690374866266059,0.0129638644742653,-4.11361932100621
"GNMT",0.196768822748815,-1.26588773636942,2.70631424534388,0.00691854813660592,0.0129905354499477,-4.11554242693562
"CST7",0.180835448642418,-2.49143432939809,2.70626377207129,0.0069195921146299,0.0129913762000504,-4.11567792713133
"PRSS53",0.110182221975079,0.866206097678583,2.70449169566848,0.00695633530621471,0.0130581104688507,-4.12043365235643
"SHPK",-0.194829321816087,2.53577943187631,-2.70423681251665,0.00696163460423324,0.0130659710900617,-4.12111743027079
"MAP4K1",0.148886008127429,-2.15130568565755,2.70423260609984,0.00696172209066622,0.0130659710900617,-4.12112871434004
"PRR13",0.11584423920622,6.6763408516359,2.70297633682747,0.0069878946866048,0.0131117045742804,-4.12449798895626
"GNAI1",0.165973444888779,3.23728670974691,2.70262641237658,0.00699520061055696,0.0131231529319015,-4.12543620056237
"LINC01290",-0.125562613784205,-2.88358801624377,-2.70229468797212,0.0070021328863139,0.0131330578012153,-4.12632550397079
"GC",0.193508832306998,-2.83032582039653,2.70228724684335,0.00700228845959246,0.0131330578012153,-4.12634545128799
"RPN2",0.119189885244953,8.07094500176509,2.70213966185897,0.00700537469295653,0.013137715342071,-4.12674106885667
"SERTAD2",0.11397109693819,3.89410286383526,2.70198401918118,0.00700863075070759,0.0131415595953806,-4.12715826287595
"LPAR5",0.189463815892925,-2.11876010688436,2.70146328612427,0.00701953442701559,0.0131608720671717,-4.12855389498586
"CDHR3",-0.16677770242263,-0.0781572983318791,-2.69943644389622,0.00706212006293174,0.013232548110904,-4.13398357073883
"FUT6",0.138292698403898,-2.78367020286391,2.69862991769446,0.00707913036471467,0.013259223114148,-4.1361430439471
"ATP6V1E2",-0.105490162947071,1.4722803816336,-2.69624400916328,0.00712966705534575,0.013348981365869,-4.1425275882727
"FOS",0.285412911050837,2.90983011618695,2.69591457261723,0.00713667038239271,0.0133609457541316,-4.14340870286097
"MAP1LC3C",0.189263566679001,-2.13915459128992,2.69566610379457,0.00714195654783603,0.0133685450715013,-4.14407319008985
"RHBG",0.171567566905388,-2.89903748832282,2.69437120314448,0.00716956253170578,0.0134190661025484,-4.14753520260444
"KLHL10",0.109535463170233,-2.44241358977489,2.69417858979513,0.00717367704056109,0.0134256139065384,-4.14805002853995
"APOOP5",-0.14360549613454,-0.995081707967494,-2.69368232196756,0.00718428784430919,0.0134443174276449,-4.14937630917166
"NDRG2",0.258537589038542,-0.110744086739246,2.69259153624484,0.00720765975621468,0.0134857381150539,-4.15229059832882
"KRT8P41",0.136783087900111,-2.29503295198923,2.692146536074,0.00721721424237957,0.0135001372084686,-4.15347918621696
"IGF2BP2-AS1",0.132521005528969,-2.2673888588653,2.69190867399066,0.00722232598647442,0.0135085393343586,-4.15411443238201
